full_name,name,owner,stars,forks,language,created_at,updated_at,url
testerSunshine/12306,12306,testerSunshine,34120,9738,Python,2017-05-17T12:23:40Z,2025-10-09T19:18:21Z,https://github.com/testerSunshine/12306
python-poetry/poetry,poetry,python-poetry,33945,2374,Python,2018-02-28T15:23:47Z,2025-10-09T19:05:11Z,https://github.com/python-poetry/poetry
jax-ml/jax,jax,jax-ml,33655,3195,Python,2018-10-25T21:25:02Z,2025-10-09T20:37:03Z,https://github.com/jax-ml/jax
shadowsocks/shadowsocks,shadowsocks,shadowsocks,33645,18383,Python,2012-04-20T13:10:49Z,2025-10-08T14:05:03Z,https://github.com/shadowsocks/shadowsocks
facebookresearch/detectron2,detectron2,facebookresearch,33465,7826,Python,2019-09-05T21:30:20Z,2025-10-09T12:45:00Z,https://github.com/facebookresearch/detectron2
Pythagora-io/gpt-pilot,gpt-pilot,Pythagora-io,33420,3430,Python,2023-08-16T11:56:07Z,2025-10-09T20:18:10Z,https://github.com/Pythagora-io/gpt-pilot
github/spec-kit,spec-kit,github,33347,2850,Python,2025-08-21T22:54:31Z,2025-10-09T22:06:47Z,https://github.com/github/spec-kit
XX-net/XX-Net,XX-Net,XX-net,33334,7622,Python,2015-01-15T09:35:51Z,2025-10-09T13:44:59Z,https://github.com/XX-net/XX-Net
lllyasviel/ControlNet,ControlNet,lllyasviel,33138,2972,Python,2023-02-01T02:43:30Z,2025-10-09T13:13:02Z,https://github.com/lllyasviel/ControlNet
xinntao/Real-ESRGAN,Real-ESRGAN,xinntao,32768,4087,Python,2021-07-19T03:23:30Z,2025-10-09T20:15:18Z,https://github.com/xinntao/Real-ESRGAN
chatanywhere/GPT_API_free,GPT_API_free,chatanywhere,32765,2340,Python,2023-04-23T12:42:08Z,2025-10-09T20:38:40Z,https://github.com/chatanywhere/GPT_API_free
paperless-ngx/paperless-ngx,paperless-ngx,paperless-ngx,32710,2030,Python,2022-02-12T21:56:52Z,2025-10-09T21:53:43Z,https://github.com/paperless-ngx/paperless-ngx
vnpy/vnpy,vnpy,vnpy,32707,10169,Python,2015-03-02T03:36:58Z,2025-10-09T16:32:25Z,https://github.com/vnpy/vnpy
explosion/spaCy,spaCy,explosion,32616,4594,Python,2014-07-03T15:15:40Z,2025-10-09T21:23:39Z,https://github.com/explosion/spaCy
certbot/certbot,certbot,certbot,32493,3462,Python,2014-11-12T02:52:20Z,2025-10-09T20:43:09Z,https://github.com/certbot/certbot
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,Retrieval-based-Voice-Conversion-WebUI,RVC-Project,32360,4553,Python,2023-03-27T09:59:10Z,2025-10-09T20:02:26Z,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI
mouredev/Hello-Python,Hello-Python,mouredev,32320,2068,Python,2022-08-03T17:14:53Z,2025-10-09T20:33:20Z,https://github.com/mouredev/Hello-Python
9001/copyparty,copyparty,9001,32094,1286,Python,2019-05-26T15:28:33Z,2025-10-09T21:51:46Z,https://github.com/9001/copyparty
microsoft/qlib,qlib,microsoft,31925,4926,Python,2020-08-14T06:46:00Z,2025-10-09T21:26:05Z,https://github.com/microsoft/qlib
facebookresearch/fairseq,fairseq,facebookresearch,31858,6611,Python,2017-08-29T16:26:12Z,2025-10-09T20:22:22Z,https://github.com/facebookresearch/fairseq
yunjey/pytorch-tutorial,pytorch-tutorial,yunjey,31787,8259,Python,2017-03-10T07:41:47Z,2025-10-09T18:11:41Z,https://github.com/yunjey/pytorch-tutorial
open-mmlab/mmdetection,mmdetection,open-mmlab,31779,9756,Python,2018-08-22T07:06:06Z,2025-10-09T22:06:22Z,https://github.com/open-mmlab/mmdetection
exo-explore/exo,exo,exo-explore,31756,2126,Python,2024-06-24T18:36:22Z,2025-10-09T21:37:35Z,https://github.com/exo-explore/exo
0xAX/linux-insides,linux-insides,0xAX,31429,3445,Python,2015-01-03T18:44:57Z,2025-10-09T19:48:48Z,https://github.com/0xAX/linux-insides
ocrmypdf/OCRmyPDF,OCRmyPDF,ocrmypdf,31413,2185,Python,2013-12-20T08:26:28Z,2025-10-09T21:18:01Z,https://github.com/ocrmypdf/OCRmyPDF
Textualize/textual,textual,Textualize,31413,993,Python,2021-04-08T15:24:47Z,2025-10-09T21:53:52Z,https://github.com/Textualize/textual
khoj-ai/khoj,khoj,khoj-ai,31281,1834,Python,2021-08-16T01:48:44Z,2025-10-09T21:45:01Z,https://github.com/khoj-ai/khoj
huggingface/diffusers,diffusers,huggingface,31034,6396,Python,2022-05-30T16:04:02Z,2025-10-09T13:56:00Z,https://github.com/huggingface/diffusers
donnemartin/interactive-coding-challenges,interactive-coding-challenges,donnemartin,30829,4576,Python,2015-04-28T21:36:39Z,2025-10-09T12:22:31Z,https://github.com/donnemartin/interactive-coding-challenges
